date_julian,date_julian_year,residual_m,timestamp,station,elongation_rad
2457120.5,2015.2657534246575,0.08968,5120150408030254846945725878701380677201910035001570078,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.06741,5120150408035127169996025904373563849301910047002945076,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.05621,5120150408035731385785125904632947878001910040001356280,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.11026,5120150408040315645322125893133758211201910024002205042,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.14148,5120150408041100758837725936060712703101910013002010032,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.05267,5120150408041925826074425935055699194401910011002248030,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.10615,5120150408043329826901725922561982876301910035004101020,DE430,3.830055963744332
2457120.5,2015.2657534246575,0.05444,5120150408044756469043125930648910777301910071003018067,DE430,3.830055963744332
2457121.5,2015.268493150685,0.06053,5120150409040340155292825647918056695301910067002896071,DE430,4.034838755492551
2457121.5,2015.268493150685,0.07039,5120150409041821399051825650172088336301910148002910161,DE430,4.034838755492551
2457121.5,2015.268493150685,0.06517,5120150409043321737453925653586911257301910227002842168,DE430,4.034838755492551
2457121.5,2015.268493150685,0.04973,5120150409045011894777925658724783780301910124003141073,DE430,4.034838755492551
2457121.5,2015.268493150685,0.05247,5120150409050501998636425664364592890301910249002949198,DE430,4.034838755492551
2457121.5,2015.268493150685,0.03791,5120150409051806849401025667950103548001910057001465191,DE430,4.034838755492551
2457121.5,2015.268493150685,0.03756,5120150409053047753434125674322685849001910054001426224,DE430,4.034838755492551
2457121.5,2015.268493150685,0.04274,5120150409054907496762325684737147488001910153001526438,DE430,4.034838755492551
2457121.5,2015.268493150685,0.03684,5120150409061015693992625700579680689301910081003214058,DE430,4.034838755492551
2457122.5,2015.2712328767122,0.07191,5120150410021107165139625422518229957301910110002593152,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.03004,5120150410022340656910125410590546993001910079001436999,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.08281,5120150410023657096560625387906939203201910062001828084,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.02479,5120150410025226001784925415507559855401910061001624539,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.11071,5120150410030541299423225413687189745101910030001958037,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.06078,5120150410031929977382525383140710902301910215002888309,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.03176,5120150410033214204682025375566014249001910124001651999,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.0951,5120150410034345861775825357682888051201910044001639079,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.02695,5120150410035938416846225390779646275401910056001509999,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.06003,5120150410043943112897925367379211113301910038003446031,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.09866,5120150410045122631666925392002070193101910039001772068,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.01748,5120150410050528377475625366696486503001910042001516536,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.07323,5120150410053348036285925357952999024201910072001752094,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.01311,5120150410054634844618525399301540239401910066001345687,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.09381,5120150410061550604898125415213809790101910064001624095,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.03871,5120150410062903777075025397945129235301910159003095170,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.00879,5120150410063910881716225400972373495001910023001783042,DE430,4.244027978846884
2457122.5,2015.2712328767122,0.03417,5120150410070622043652825440602820128401910063002004188,DE430,4.244027978846884
2457123.5,2015.2739726027398,0.02282,5120150411024414554939425153910370865401910015001620289,DE430,4.458116485310036
2457123.5,2015.2739726027398,0.04257,5120150411031931461463625126778934426401910038001669418,DE430,4.458116485310036
2457123.5,2015.2739726027398,0.07077,5120150411035452053037725086075963296301910270002707312,DE430,4.458116485310036
2457123.5,2015.2739726027398,0.02731,5120150411041347284049825074166952101001910174001646439,DE430,4.458116485310036
2457123.5,2015.2739726027398,0.05879,5120150411045400331026225064679038903301910199002899078,DE430,4.458116485310036
2457124.5,2015.2767123287672,0.06515,5120150412040703404868624789657235104301910009003058036,DE430,4.677518817515662
2457124.5,2015.2767123287672,0.13202,5120150412045432773829124785417900754101910064001810153,DE430,4.677518817515662
