date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector
2447220.32142648,1988.16071428,-0.149461269379,0.09555025387360164,2.4111504016512555,-0.7448794050925233,McDonald2,5
2447243.2564395,1988.22337825,-0.168271303177,0.09555025387360164,1.0738412821228147,0.4767511204801558,McDonald2,5
2447244.25016976,1988.22609336,-0.219450354576,0.09555025387360164,1.2808712163171352,0.2858804618770044,McDonald2,5
2447244.3204637202,1988.22628542,-0.824569582939,0.09555025387360164,1.2952550769821412,0.2720678096136654,McDonald2,5
2447245.28401728,1988.22891808,-0.199513077736,0.09555025387360164,1.4893468485520263,0.08135945189912296,McDonald2,5
2447245.33500474,1988.22905739,-0.0580489635468,0.09555025387360164,1.499470144114692,0.07126572030255225,McDonald2,5
2447245.35932178,1988.22912383,-0.614830374718,0.09555025387360164,1.5042933891352184,0.06645392873172463,McDonald2,5
2447246.34670926,1988.23182161,0.0180712938309,0.09555025387360164,1.6977883122157347,-0.12665092801089045,McDonald2,5
2447246.38502946,1988.23192631,-0.419878959656,0.09555025387360164,1.7052152542278527,-0.1340145027376457,McDonald2,5
2447247.42041418,1988.23475523,-0.0489196777344,0.09555025387360164,1.9041084141499638,-0.32717462018756344,McDonald2,5
2447247.44139696,1988.23481256,0.0276905298233,0.09555025387360164,1.9081094977637176,-0.3309528708545469,McDonald2,5
2447248.3451205,1988.23728175,0.0254842042923,0.09555025387360164,2.0796988579056506,-0.4872191431402015,McDonald2,5
2447248.42966284,1988.23751274,-0.0578181743622,0.09555025387360164,2.095695928351465,-0.5011261249710656,McDonald2,5
2447275.3444098,1988.3110503,-0.0521750450134,0.09555025387360164,1.5526106470588175,0.01818467736117765,McDonald2,5
2447275.3618497,1988.31109795,-0.0825343132019,0.09555025387360164,1.555947240234993,0.014848540873443094,McDonald2,5
2447275.38449778,1988.31115983,-0.257548809052,0.09555025387360164,1.5602791172461954,0.010517015662041431,McDonald2,5
2447275.4321034,1988.3112899,-0.0991759300232,0.09555025387360164,1.569380462031259,0.0014158642905799889,McDonald2,5
2447277.36266556,1988.31656466,-0.051914691925,0.09555025387360164,1.9355926237530579,-0.3567590032208314,McDonald2,5
2447277.4855098,1988.3169003,-0.0465189218521,0.09555025387360164,1.9588306324180973,-0.37836959324087416,McDonald2,5
2447303.37822006,1988.38764541,-0.193629622459,0.09555025387360164,1.2246367201266268,0.33928772698898974,McDonald2,5
2447303.40374124,1988.38771514,-0.138560175896,0.09555025387360164,1.229517734591322,0.3346922179856297,McDonald2,5
2447304.4163314803,1988.39048178,-0.112917780876,0.09555025387360164,1.422188608324159,0.14806134037088947,McDonald2,5
2447305.37758656,1988.39310816,-0.0961883068085,0.09555025387360164,1.6041704817894271,-0.03336795979357026,McDonald2,5
2447305.4050182602,1988.39318311,-0.262332201004,0.09555025387360164,1.6093633542375643,-0.03855746728727721,McDonald2,5
2447305.46230824,1988.39333964,-0.0202665328979,0.09555025387360164,1.6202095890997605,-0.04939315627555849,McDonald2,5
2447305.48529304,1988.39340244,-0.139253973961,0.09555025387360164,1.6245615881740547,-0.05373936188613407,McDonald2,5
2447332.3759206,1988.4668741,0.0986895561218,0.09555025387360164,1.08559778343735,0.4663839965934101,McDonald2,5
2447333.5034568002,1988.4699548,0.157860279083,0.09555025387360164,1.298821377104752,0.26863431430165147,McDonald2,5
