date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector,residual_corrected_m
2453832.7025098,2006.26356852,-0.0304449796677,0.037,1.902066709009474,-0.3252446019572728,APO,5,-0.0304449796677
2453832.70667445,2006.26357993,-0.0745670795441,0.028,1.902865075598945,-0.3259994575589018,APO,5,-0.0745670795441
2453833.58327305,2006.26598157,-0.0164366700575,0.051,2.069991186233872,-0.4787188059702059,APO,5,-0.0164366700575
2453833.5865106,2006.26599044,-0.0468286015913,0.019,2.0706055983690166,-0.4792581499444976,APO,5,-0.0468286015913
2453890.5038368,2006.42192832,-0.0441350676939,0.018,1.5785155396284214,-0.007719136173933,APO,5,-0.0441350676939
2453890.5096768,2006.42194432,-0.020309779875,0.02,1.5796215716129391,-0.0088251302595358,APO,5,-0.020309779875
2453890.51823605,2006.42196777,-0.0174931027815,0.047,1.5812425837781816,-0.0104460669942676,APO,5,-0.0174931027815
2453890.52540465,2006.42198741,-0.0176985003873,16.628,1.5826002108097,-0.0118036099075521,APO,5,-0.0176985003873
2453890.5324601,2006.42200674,-0.0544374921247,73.128,1.583936397231124,-0.013139692308887,APO,5,-0.0544374921247
2453890.5385921,2006.42202354,0.0177027247027,16.43,1.5850976883432744,-0.014300874046305,APO,5,0.0177027247027
2453893.48553275,2006.43009735,-0.011433456175,0.012,2.1489294700293016,-0.546461426768075,APO,5,-0.011433456175
2453893.4991217,2006.43013458,-0.0242075660154,73.048,2.1515856090127317,-0.5486839711185413,APO,5,-0.0242075660154
2453893.5073342,2006.43015708,-0.0211078860685,73.058,2.153191222380995,-0.5500256039834449,APO,5,-0.0211078860685
2453893.5138093,2006.43017482,-0.0225488879606,0.011,2.1544573574956916,-0.5510825727742501,APO,5,-0.0225488879606
2453893.5450971,2006.43026054,-0.0185169913694,0.013,2.1605778192834135,-0.5561794428523718,APO,5,-0.0185169913694
2453904.82949915,2006.46117671,-0.0107464530393,73.128,4.652580901748046,-0.0597724293677416,APO,5,-0.0107464530393
2453904.8340653,2006.46118922,-0.0157049634382,16.12,4.6536307504601435,-0.0587244250061797,APO,5,-0.0157049634382
2453904.8426245498,2006.46121267,-0.0433299281522,0.044,4.655598611333148,-0.0567598477683121,APO,5,-0.0433299281522
2453904.85956785,2006.46125909,-0.0028989055082,16.419,4.659493740781308,-0.0528705770658132,APO,5,-0.0028989055082
2453904.8718866,2006.46129284,-0.00949809335915,73.158,4.662325462104196,-0.0500426080689966,APO,5,-0.00949809335915
2453904.8772667,2006.46130758,0.0132906696871,0.033,4.663562121137964,-0.0488074605144776,APO,5,0.0132906696871
2453905.85443375,2006.46398475,-0.0123806931898,0.017,4.887440493685991,0.1741588638774633,APO,5,-0.0123806931898
2453905.86524505,2006.46401437,0.0250346920565,0.06,4.8899089823345605,0.1765890949365679,APO,5,0.0250346920565
2453905.8723005,2006.4640337,0.00660493589195,73.291,4.891519813129577,0.1781743811874756,APO,5,0.00660493589195
2453907.83669765,2006.46941561,0.00420000768455,73.095,5.336563202319323,0.5844273979690052,APO,5,0.00420000768455
2453907.8482645,2006.4694473,-0.000666473142781,73.087,5.339161531353103,0.5865338264814208,APO,5,-0.000666473142781
2453907.8555499,2006.46946726,0.00547864652427,0.075,5.34079794600472,0.5878584132614415,APO,5,0.00547864652427
2453907.858521,2006.4694754,-0.0919402837753,0.05,5.341465268816057,0.5883981223493884,APO,5,-0.0919402837753
2453907.85959775,2006.46947835,0.0105625650957,0.05,5.34170710715309,0.5885936486949038,APO,5,0.0105625650957
2453907.86688315,2006.46949831,-7.05459043168e-05,73.087,5.343343344421297,0.5899156419200708,APO,5,-7.05459043168e-05
2453907.8717413,2006.46951162,-0.000992748968282,0.036,5.344434379111604,0.5907962628376113,APO,5,-0.000992748968282
2453918.4830505,2006.4985837,-0.012879345648,73.175,1.2462399318178234,0.3188883718309149,APO,5,-0.012879345648
2453918.4973366,2006.49862284,0.0333349964693,0.018,1.2489427537593156,0.3163254964007768,APO,5,0.0333349964693
