date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector
2446018.21800834,1984.86808199,-0.0912601465697,0.005,4.15028484679955,-0.5329677586590251,Haleakala,5
2446019.20968168,1984.87079148,-0.139597844552,0.005,4.363001708890412,-0.34232216268468135,Haleakala,5
2446019.2586049,1984.87092515,-0.100123953294,0.005,4.373618112509963,-0.33232807047652235,Haleakala,5
2446020.21489336,1984.87353796,-0.317177605104,0.005,4.58353339127709,-0.12849930374636,Haleakala,5
2446076.376385663,1985.02705859,0.341234136153,0.005,3.9989019193864794,-0.6544742567694659,Haleakala,5
2446077.315468643,1985.02963142,-0.0895483011717,0.005,4.2157487416252035,-0.4764743704003204,Haleakala,5
2446077.3226700933,1985.02965115,-0.0889393801207,0.005,4.21741095733414,-0.47501231212838163,Haleakala,5
2446077.3302803435,1985.029672,-0.0501225704664,0.005,4.219167501769978,-0.473465857631986,Haleakala,5
2446077.3402922936,1985.02969943,0.00387208514269,0.005,4.22147834337837,-0.47142917787750976,Haleakala,5
2446077.353278994,1985.02973501,0.0204152350908,0.005,4.224475702509645,-0.468783681361249,Haleakala,5
2446077.3673679945,1985.02977361,0.145540762473,0.005,4.227727370978942,-0.46590896708029916,Haleakala,5
2446078.3113091243,1985.03235975,0.140094328452,0.005,4.445219770494088,-0.26400213850291093,Haleakala,5
2446078.3197515747,1985.03238288,0.218674231101,70.36,4.447160814436066,-0.2621294625761279,Haleakala,5
2446078.3291247752,1985.03240856,-0.104693960618,0.005,4.449315747979261,-0.2600492741834106,Haleakala,5
2446078.3426443757,1985.0324456,0.159891653586,0.005,4.452423761269239,-0.25704693983840626,Haleakala,5
2446079.303999656,1985.03507945,0.11803977542,0.005,4.672771839760468,-0.039606778136021766,Haleakala,5
2446079.314931406,1985.0351094,0.123963046599,0.005,4.675269300087836,-0.03711115653100983,Haleakala,5
2446079.328863457,1985.03514757,-0.00464720673506,0.005,4.678451921977968,-0.03393054442811662,Haleakala,5
2446079.3422443573,1985.03518423,0.0408990865236,0.005,4.681508338366555,-0.030875734216456854,Haleakala,5
2446107.242177292,1985.1116224,0.0683867221361,0.005,4.3499859687828,-0.35452218493904336,Haleakala,5
2446107.252714842,1985.11165127,0.0775660758501,70.47,4.352424534795537,-0.35224095779225983,Haleakala,5
2446107.2628180427,1985.11167895,0.270248461295,0.005,4.354762146664642,-0.3500522045870412,Haleakala,5
2446107.280717643,1985.11172799,0.115371990729,0.005,4.358902583046474,-0.34617074339292647,Haleakala,5
2446107.305804094,1985.11179672,0.182267237235,0.005,4.364703167850943,-0.34072300664964045,Haleakala,5
2446107.3256710446,1985.11185115,0.163880634833,70.47,4.36929499255073,-0.33640236275782426,Haleakala,5
2446107.3505786452,1985.11191939,0.144888926077,70.47,4.375049494254213,-0.33097770297078727,Haleakala,5
2446107.3748036963,1985.11198576,0.150905418921,70.47,4.380643776903332,-0.3256935704737006,Haleakala,5
2446107.392951497,1985.11203548,0.123822498847,0.005,4.384833006198541,-0.32172991099163534,Haleakala,5
2446107.4263745476,1985.11212705,0.241549301673,0.005,4.392544691160894,-0.3144187506194989,Haleakala,5
2446196.297982616,1985.3556109,0.171633768607,0.005,4.519650563904276,-0.19154732007795966,Haleakala,5
2446213.964680326,1985.40401281,-0.357919287157,0.005,1.7799855361227823,-0.20766685307144483,Haleakala,5
2446225.263452784,1985.43496835,0.169006872702,0.005,4.39600306676585,-0.3111338949150844,Haleakala,5
2446226.1947247637,1985.43751978,0.409374642897,0.005,4.583674525162348,-0.12835933863828278,Haleakala,5
2446226.2094707643,1985.43756018,0.340485024977,0.005,4.586606845090134,-0.12545072798683732,Haleakala,5
2446226.2201141645,1985.43758934,0.26306598239,0.005,4.588722633343853,-0.12335137554740659,Haleakala,5
2446226.236918765,1985.43763538,0.306206632186,0.005,4.592061994686754,-0.12003683510805284,Haleakala,5
